USER   { pos: [ 24, 52] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  5,114] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 32,123] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 11,130] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,123] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,124] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 26,117] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  6,114] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,134] | dir: RIGHT | fi: 0 }
USER   { pos: [ 25, 52] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 32,122] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 11,129] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,122] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,123] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  7,114] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 27,117] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,135] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 32,121] | dir: LEFT  | fi: 0 }
USER   { pos: [ 25, 53] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 11,128] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,121] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,122] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 28,117] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  8,114] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,136] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 33,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 25, 54] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 11,127] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,120] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,121] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 29,117] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  9,114] | dir: DOWN  | fi: 0 }
USER   { pos: [ 25, 55] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 34,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,137] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 10,127] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 17,119] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,120] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 29,118] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,138] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,114] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 35,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 25, 56] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  9,127] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 24,119] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,118] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 29,119] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,139] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 36,121] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 10,115] | dir: RIGHT | fi: 0 }
USER   { pos: [ 25, 57] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  8,127] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 24,118] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,117] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 29,120] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 37,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,140] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,116] | dir: RIGHT | fi: 0 }
USER   { pos: [ 25, 58] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  7,127] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 17,116] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 28,120] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 25,118] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 38,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 38,140] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 11,116] | dir: DOWN  | fi: 0 }
USER   { pos: [ 25, 59] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  6,127] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 26,118] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 17,115] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 27,120] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 38,141] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 39,121] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 12,116] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [  5,127] | dir: UP    | fi: 0 }
