OPO 1  { pos: [  5, 60] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 33, 60] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 11, 60] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16, 60] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 23, 61] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 27, 60] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 21] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 38, 60] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 33, 59] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16, 59] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 22] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 27, 59] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 12, 60] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 24, 61] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  6, 60] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 38, 59] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16, 58] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 32, 59] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 27, 58] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  7, 60] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 13, 60] | dir: DOWN  | fi: 0 }
USER   { pos: [ 22, 23] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 37, 59] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 25, 61] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 28, 58] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 32, 58] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  8, 60] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 16, 57] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 14, 60] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 26, 61] | dir: DOWN  | fi: 0 }
USER   { pos: [ 22, 24] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 36, 59] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 17, 57] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 29, 58] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 32, 57] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  9, 60] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 15, 60] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 35, 59] | dir: UP    | fi: 0 }
USER   { pos: [ 22, 25] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26, 62] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 18, 57] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 29, 57] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 32, 56] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 16, 60] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 10, 60] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 34, 59] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 27, 62] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 25] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 18, 58] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 28, 57] | dir: UP    | fi: 0 }
OPO 6  { pos: [ 32, 55] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 16, 59] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 28, 62] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 11, 60] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 33, 59] | dir: UP    | fi: 0 }
USER   { pos: [ 24, 25] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 18, 59] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 27, 57] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 16, 58] | dir: LEFT  | fi: 0 }
USER   { pos: [ 25, 25] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 11, 59] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 32, 54] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 29, 62] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 32, 59] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 18, 60] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 26, 57] | dir: UP    | fi: 0 }
OPO 6  { pos: [ 32, 53] | dir: LEFT  | fi: 0 }
USER   { pos: [ 26, 25] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 32, 60] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 30, 62] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 16, 57] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 11, 58] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 18, 61] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 25, 57] | dir: UP    | fi: 0 }
USER   { pos: [ 26, 26] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 31, 53] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 31, 62] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 31, 60] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 16, 56] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 11, 57] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 18, 62] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 30, 53] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 24, 57] | dir: UP    | fi: 0 }
